1777046648.416 APP_START pkg=com.tencent.mobileqq pid=31881 tgid=31881 uid=10281 comm=encent.mobileqq cpu=6
1777046648.416 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=2
1777046648.420 APP_START pkg=com.tencent.mobileqq pid=31920 tgid=31881 uid=10281 comm=binder:31881_2 cpu=0
1777046648.421 APP_START pkg=com.tencent.mobileqq:MSF pid=19779 tgid=19651 uid=10281 comm=MsfServiceAppMs cpu=2
1777046648.421 APP_START pkg=com.tencent.mobileqq pid=32170 tgid=31881 uid=10281 comm=MSF_Common_Prio cpu=1
1777046648.423 APP_START pkg=com.android.systemui pid=2054 tgid=2021 uid=10227 comm=ll.splashscreen cpu=1
1777046648.423 APP_START pkg=com.tencent.mobileqq pid=31881 tgid=31881 uid=10281 comm=encent.mobileqq cpu=7
1777046648.432 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=7
1777046648.433 APP_START pkg=com.android.systemui pid=2054 tgid=2021 uid=10227 comm=ll.splashscreen cpu=5
1777046648.433 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=7
1777046648.435 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=5
1777046648.435 APP_START pkg=com.google.android.apps.nexuslauncher pid=29918 tgid=29885 uid=10229 comm=RenderThread cpu=6
1777046648.435 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=6
1777046648.435 APP_START pkg=com.tencent.mobileqq pid=32018 tgid=31881 uid=10281 comm=RenderThread cpu=6
1777046648.435 APP_START pkg=com.google.android.as pid=3158 tgid=2762 uid=10128 comm=aiai-app-predic cpu=5
1777046648.435 APP_START pkg=com.tencent.mobileqq pid=32164 tgid=31881 uid=10281 comm=allocateBuffers cpu=6
1777046648.435 APP_START pkg=com.android.systemui pid=2045 tgid=2021 uid=10227 comm=wmshell.main cpu=5
1777046648.435 APP_START pkg=com.google.android.as pid=3158 tgid=2762 uid=10128 comm=aiai-app-predic cpu=3
1777046648.435 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=0
1777046648.435 APP_START pkg=com.tencent.mobileqq pid=31919 tgid=31881 uid=10281 comm=binder:31881_1 cpu=7
1777046648.435 APP_START pkg=com.android.systemui pid=2021 tgid=2021 uid=10227 comm=ndroid.systemui cpu=2
1777046648.435 APP_START pkg=com.tencent.mobileqq:MSF pid=19779 tgid=19651 uid=10281 comm=MsfServiceAppMs cpu=4
1777046648.435 APP_START pkg=com.google.android.as pid=3158 tgid=2762 uid=10128 comm=aiai-app-predic cpu=3
1777046648.435 APP_START pkg=com.tencent.mobileqq pid=32011 tgid=31881 uid=10281 comm=QQ_COMMON cpu=6
1777046648.435 APP_START pkg=com.tencent.mobileqq:MSF pid=19779 tgid=19651 uid=10281 comm=MsfServiceAppMs cpu=3
1777046648.436 APP_START pkg=com.google.android.as pid=3158 tgid=2762 uid=10128 comm=aiai-app-predic cpu=1
1777046648.437 APP_START pkg=com.tencent.mobileqq:MSF pid=29406 tgid=19651 uid=10281 comm=binder:19651_10 cpu=5
1777046648.437 APP_START pkg=com.google.android.as pid=3158 tgid=2762 uid=10128 comm=aiai-app-predic cpu=1
