# tracer: nop
#
# entries-in-buffer/entries-written: 1818/77669   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
    RenderThread-25167   [007] ..... 44551.725745: binder_transaction: transaction=3960024 dest_node=532 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
    RenderThread-25167   [007] ..... 44551.725831: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44551.754396: binder_transaction: transaction=3960038 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [007] ..... 44551.754476: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-2550    [006] ..... 44551.754916: binder_transaction: transaction=3960039 dest_node=25524 dest_proc=2232 dest_thread=0 reply=0 flags=0x10 code=0x1
 android.hardwar-2550    [006] ..... 44551.754962: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
    RenderThread-25167   [007] ..... 44551.758124: binder_transaction: transaction=3960043 dest_node=532 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
    RenderThread-25167   [007] ..... 44551.758209: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:600_2-647     [006] ..... 44551.770554: binder_transaction_received: transaction=3960045
    binder:600_2-647     [006] ..... 44551.770603: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    RenderThread-25167   [006] ..... 44551.774968: binder_transaction: transaction=3960049 dest_node=532 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
    RenderThread-25167   [006] ..... 44551.775055: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 .android.chrome-25132   [007] ..... 44551.795115: binder_transaction_received: transaction=3960059
 .android.chrome-25132   [006] ..... 44551.804150: binder_transaction: transaction=3960060 dest_node=3930430 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 .android.chrome-25132   [006] ..... 44551.804204: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  RegionSampling-698     [006] ..... 44551.838181: binder_transaction: transaction=3960071 dest_node=3929675 dest_proc=2275 dest_thread=0 reply=0 flags=0x11 code=0x1
  RegionSampling-698     [006] ..... 44551.838221: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
   kworker/u17:1-23159   [006] ..... 44551.851857: block_rq_issue: 8,0 R 4096 () 3745656 + 8 [kworker/u17:1]
   kworker/u17:1-23159   [006] ..... 44551.851893: block_rq_issue: 8,0 RA 36864 () 2964544 + 72 [kworker/u17:1]
   kworker/u17:1-23159   [006] ..... 44551.851903: block_rq_issue: 8,0 RA 32768 () 2964624 + 64 [kworker/u17:1]
   kworker/u17:1-23159   [006] ..... 44551.851914: block_rq_issue: 8,0 RA 49152 () 2964704 + 96 [kworker/u17:1]
    binder:600_2-647     [007] ..... 44551.854779: binder_transaction_received: transaction=3960077
    binder:600_2-647     [007] ..... 44551.854830: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 .android.chrome-25132   [006] ..... 44551.919669: block_rq_issue: 8,0 RA 12288 () 94137952 + 24 [.android.chrome]
 .android.chrome-25132   [006] ..... 44551.919688: block_rq_issue: 8,0 RA 4096 () 94137984 + 8 [.android.chrome]
 .android.chrome-25132   [006] ..... 44551.919724: block_rq_issue: 8,0 RA 16384 () 94138040 + 32 [.android.chrome]
 .android.chrome-25132   [006] ..... 44551.919752: block_rq_issue: 8,0 RA 12288 () 95434728 + 24 [.android.chrome]
 .android.chrome-25132   [006] ..... 44551.919776: block_rq_issue: 8,0 RA 12288 () 95434760 + 24 [.android.chrome]
 .android.chrome-25132   [006] ..... 44551.919833: block_rq_issue: 8,0 RA 12288 () 95434792 + 24 [.android.chrome]
 .android.chrome-25132   [006] ..s1. 44551.919859: block_rq_complete: 8,0 RA () 94137952 + 24 [0]
 .android.chrome-25132   [006] ..s1. 44551.919879: block_rq_complete: 8,0 RA () 94138040 + 32 [0]
 .android.chrome-25132   [006] ..... 44551.919892: block_rq_issue: 8,0 RA 8192 () 95434848 + 16 [.android.chrome]
          <idle>-0       [006] ..s1. 44551.919937: block_rq_complete: 8,0 RA () 94137984 + 8 [0]
          <idle>-0       [006] ..s1. 44551.920020: block_rq_complete: 8,0 RA () 95434728 + 24 [0]
          <idle>-0       [006] ..s1. 44551.920119: block_rq_complete: 8,0 RA () 95434848 + 16 [0]
          <idle>-0       [006] ..s1. 44551.920125: block_rq_complete: 8,0 RA () 95434760 + 24 [0]
          <idle>-0       [006] ..s1. 44551.920137: block_rq_complete: 8,0 RA () 95434792 + 24 [0]
  RegionSampling-698     [006] ..... 44551.935866: binder_transaction: transaction=3960140 dest_node=3929675 dest_proc=2275 dest_thread=0 reply=0 flags=0x11 code=0x1
  RegionSampling-698     [006] ..... 44551.935916: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:600_2-647     [007] ..... 44551.938075: binder_transaction_received: transaction=3960143
    binder:600_2-647     [007] ..... 44551.938098: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
   Dns_100_10167-25667   [007] ..... 44551.939325: binder_transaction: transaction=3960146 dest_node=12103 dest_proc=1216 dest_thread=0 reply=0 flags=0x11 code=0x1
   Dns_100_10167-25667   [007] ..... 44551.939338: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    RenderThread-25167   [007] ..... 44551.943902: binder_transaction: transaction=3960149 dest_node=532 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
    RenderThread-25167   [007] ..... 44551.943990: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:903_2-942     [007] ..... 44551.946693: binder_transaction: transaction=3960150 dest_node=12103 dest_proc=1216 dest_thread=0 reply=0 flags=0x11 code=0x3
    binder:903_2-942     [007] ..... 44551.946747: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:600_2-647     [006] ..... 44551.971482: binder_transaction_received: transaction=3960156
    binder:600_2-647     [006] ..... 44551.971528: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
