# tracer: nop
#
# entries-in-buffer/entries-written: 1523/181595   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
     thermal_BIG-193     [002] ..... 86325.387369: thermal_temperature: thermal_zone=BIG id=9 temp_prev=65000 temp=65000
  decon0_kthread-294     [002] ..... 86325.387610: dma_fence_wait_start: driver=mali timeline=mali.timeline context=17 seqno=382
  decon0_kthread-294     [002] ..... 86325.387615: dma_fence_wait_end: driver=mali timeline=mali.timeline context=17 seqno=382
  decon0_kthread-294     [002] ..... 86325.387617: dma_fence_wait_start: driver=mali timeline=mali.timeline context=22776 seqno=8256
  decon0_kthread-294     [002] ..... 86325.387618: dma_fence_wait_end: driver=mali timeline=mali.timeline context=22776 seqno=8256
  BckgrndExec HP-707     [000] ..... 86325.388482: binder_transaction: transaction=3913192 dest_node=3487661 dest_proc=31215 dest_thread=0 reply=0 flags=0x11 code=0x1
  BckgrndExec HP-707     [000] ..... 86325.388566: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  binder:31215_3-31225   [007] ..... 86325.388579: binder_transaction_received: transaction=3913192
  binder:31215_3-31225   [007] ..... 86325.388681: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
   kworker/u16:0-29939   [000] ..... 86325.398945: block_rq_issue: 8,0 R 4096 () 1697648 + 8 [kworker/u16:0]
     ksoftirqd/0-13      [000] ..s.. 86325.400055: block_rq_complete: 8,0 R () 1697648 + 8 [0]
     thermal_MID-206     [000] ..... 86325.400917: thermal_temperature: thermal_zone=MID id=10 temp_prev=60000 temp=60000
    kworker/7:2H-32560   [007] ..... 86325.401560: block_rq_issue: 8,0 R 4096 () 124629384 + 8 [kworker/7:2H]
          <idle>-0       [007] ..s1. 86325.401752: block_rq_complete: 8,0 R () 124629384 + 8 [0]
       Thread-76-31418   [000] ..... 86325.401987: binder_transaction: transaction=3913193 dest_node=3492248 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
       Thread-76-31418   [000] ..... 86325.402063: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  binder:31215_3-31225   [007] ..... 86325.403675: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
   binder:2071_5-4352    [000] ..... 86325.417325: binder_transaction_received: transaction=3913198
   binder:2071_5-4352    [000] ..... 86325.417388: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
   binder:1209_D-2509    [000] ..... 86325.417570: binder_transaction_received: transaction=3913201
   binder:1209_D-2509    [000] ..... 86325.417654: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
##### CPU 5 buffer started ####
   binder:2214_E-10281   [005] ..... 86325.417708: binder_transaction: transaction=3913202 dest_node=27951 dest_proc=1209 dest_thread=0 reply=0 flags=0x11 code=0x1
   binder:2214_E-10281   [005] ..... 86325.417730: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
   binder:2214_E-10281   [005] ..... 86325.417753: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
       Thread-76-31418   [007] ..... 86325.418534: binder_transaction: transaction=3913203 dest_node=3492248 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
       Thread-76-31418   [007] ..... 86325.418558: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    NetworkStats-1858    [005] ..... 86325.418853: binder_transaction: transaction=3913204 dest_node=1173 dest_proc=891 dest_thread=0 reply=0 flags=0x10 code=0xe
    binder:891_1-929     [005] ..... 86325.418888: binder_transaction_received: transaction=3913204
    NetworkStats-1858    [005] ..... 86325.419395: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
    binder:891_1-929     [007] ..... 86325.419648: binder_transaction: transaction=3913211 dest_node=0 dest_proc=1209 dest_thread=1858 reply=1 flags=0x0 code=0x0
