# tracer: nop
#
# entries-in-buffer/entries-written: 1874/215392   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
 android.hardwar-1982    [006] ..... 86703.473696: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.473701: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [006] ..... 86703.473712: binder_transaction_received: transaction=4083847
  InputProcessor-2285    [006] ..... 86703.479166: binder_transaction: transaction=4083852 dest_node=12527 dest_proc=1982 dest_thread=0 reply=0 flags=0x10 code=0x1
  InputProcessor-2285    [006] ..... 86703.479177: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.479185: binder_transaction_received: transaction=4083852
 android.hardwar-1982    [006] ..... 86703.479219: binder_transaction: transaction=4083853 dest_node=0 dest_proc=1209 dest_thread=2285 reply=1 flags=0x0 code=0x0
 android.hardwar-1982    [006] ..... 86703.479235: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 android.hardwar-1982    [006] ..... 86703.479240: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  InputProcessor-2285    [006] ..... 86703.479249: binder_transaction_received: transaction=4083853
 UnityGfxDeviceW-31394   [006] ..... 86703.481078: binder_transaction: transaction=4083854 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [006] ..... 86703.481123: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 s.nexuslauncher-2224    [004] ..... 86703.485096: binder_transaction: transaction=4083856 dest_node=19411 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
 s.nexuslauncher-2224    [004] ..... 86703.485119: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
