frame_index,frame_token,deadline_missed,frame_time_ms,thread_count,on_cpu_ms,runnable_wait_ms,top_thread,top_thread_score_ns
279,9429852,0,16.135,96,65.406,30.615,tracepilot:18002,18220684
280,9429889,0,16.205,93,61.46,24.319,tracepilot:18002,18326400
281,9429926,0,16.108,93,55.727,22.838,tracepilot:18002,18419497
282,9429963,0,16.084,94,63.007,23.042,tracepilot:18002,18556521
283,9430000,0,16.198,96,56.085,18.212,tracepilot:18002,18179355
284,9430037,0,16.226,92,63.404,24.0,tracepilot:18002,18274354
285,9430075,0,16.11,97,60.5,20.688,tracepilot:18002,18423198
286,9430113,0,16.215,97,63.742,29.164,tracepilot:18002,19043059
287,9430151,0,16.218,96,58.295,19.496,tracepilot:18002,17740095
288,9430189,0,16.127,104,95.122,42.633,kworker/u16:5:6873,20600000
289,9430227,0,16.144,98,70.128,34.237,tracepilot:18002,18366500
290,9430265,0,16.211,92,63.077,26.396,tracepilot:18002,18383118
291,9430303,0,16.227,93,61.259,18.629,tracepilot:18002,18463231
292,9430322,0,16.182,101,90.294,34.75,tracepilot:18002,18646149
293,9430359,0,16.172,97,73.635,31.095,tracepilot:18002,18729395
294,9430396,0,16.204,93,72.773,34.486,tracepilot:18002,18727042
295,9430433,0,16.219,91,88.017,25.255,tracepilot:18002,18676658
296,9430470,0,16.156,84,62.172,22.571,tracepilot:18002,18570341
297,9430507,0,16.067,86,79.842,32.316,tracepilot:18002,18774640
298,9430544,0,16.128,90,83.205,38.668,tracepilot:18002,18933976
299,9430581,0,16.178,100,68.207,32.837,tracepilot:18002,18505998
300,9430618,0,16.206,89,61.194,22.087,tracepilot:18002,17848784
301,9430655,0,16.162,91,75.546,27.724,tracepilot:18002,18099067
302,9430692,0,16.132,94,60.97,29.484,tracepilot:18002,18025786
303,9430729,0,16.109,110,67.151,40.869,tracepilot:18002,18390691
304,9430766,0,16.159,91,63.864,22.517,tracepilot:18002,18099044
305,9430803,0,16.205,89,42.428,16.54,tracepilot:18002,18559400
306,9430840,0,16.153,69,42.889,12.472,tracepilot:18002,18421607
307,9430877,0,16.217,80,52.654,16.08,tracepilot:18002,18678048
308,9430914,0,16.163,78,46.579,14.172,tracepilot:18002,18420394
309,9430951,0,16.131,85,51.399,16.447,tracepilot:18002,18456658
310,9430988,0,16.199,85,58.833,16.081,tracepilot:18002,18330488
311,9431025,0,16.165,82,47.187,18.836,tracepilot:18002,18320227
312,9431062,0,16.183,91,72.851,29.731,tracepilot:18002,18565241
313,9431099,0,16.192,87,72.009,26.831,tracepilot:18002,18176568
314,9431136,0,16.082,80,62.177,25.73,tracepilot:18002,17869271
315,9431173,0,16.333,94,71.222,36.898,tracepilot:18002,16094656
316,9431210,0,16.217,98,67.054,28.11,tracepilot:18002,18391958
317,9431247,0,16.179,94,56.455,30.128,tracepilot:18002,18467792
318,9431284,0,16.223,97,60.874,32.588,tracepilot:18002,18275140
319,9431321,0,16.223,97,70.896,31.977,tracepilot:18002,18255645
320,9431358,0,16.23,97,60.348,26.484,tracepilot:18002,18460629
321,9431395,0,16.328,97,59.528,27.659,tracepilot:18002,18528433
322,9431433,0,16.24,96,76.469,29.385,tracepilot:18002,17954452
323,9431470,0,16.286,91,60.405,20.319,tracepilot:18002,18164138
324,9431508,0,16.224,97,67.259,27.389,tracepilot:18002,18419692
325,9431546,0,16.203,91,72.072,26.549,tracepilot:18002,18254873
326,9431584,0,16.103,89,43.92,15.824,tracepilot:18002,18464086
327,9431622,0,16.23,114,71.589,26.934,tracepilot:18002,18178351
328,9431660,0,16.222,81,69.168,18.898,tracepilot:18002,18543796
329,9431674,0,16.152,73,44.655,14.309,tracepilot:18002,18428654
330,9431681,0,16.093,69,57.119,13.253,tracepilot:18002,18438196
331,9431694,0,16.201,76,69.698,15.537,tracepilot:18002,18634119
332,9431707,0,16.154,75,66.942,17.59,tracepilot:18002,18507743
333,9431720,0,16.173,76,52.739,14.032,tracepilot:18002,18312443
334,9431733,0,16.207,100,92.341,53.414,tracepilot:18002,16670938
335,9431770,0,16.283,96,74.753,40.802,tracepilot:18002,18888536
336,9431807,0,16.153,83,62.338,30.816,tracepilot:18002,18031200
337,9431844,0,16.197,86,87.612,37.09,tracepilot:18002,18168111
338,9431881,0,16.244,98,67.685,24.88,tracepilot:18002,18553282
339,9431918,0,16.092,89,94.202,40.749,kworker/u16:11:6879,20600000
340,9431955,0,16.102,93,82.998,26.083,kworker/u16:11:6879,20587345
341,9431992,0,16.102,95,60.87,23.863,tracepilot:18002,16418781
342,9432029,0,16.114,81,70.273,24.743,tracepilot:18002,18168805
343,9432066,0,16.228,100,73.124,31.207,tracepilot:18002,18708808
344,9432103,0,16.165,82,57.213,29.418,tracepilot:18002,18316974
345,9432140,0,16.161,84,66.547,33.496,tracepilot:18002,18331067
346,9432177,0,16.152,89,63.139,25.037,tracepilot:18002,18377766
347,9432214,0,16.085,88,49.469,24.287,tracepilot:18002,18619351
348,9432251,0,16.176,89,59.405,27.615,tracepilot:18002,18155979
349,9432288,0,16.018,157,120.218,107.671,tracepilot:18002,18655257
350,9432325,0,16.295,128,75.901,48.886,tracepilot:18002,19206140
351,9432362,0,16.119,88,47.708,19.557,tracepilot:18002,18056599
352,9432387,0,16.197,82,59.563,26.989,tracepilot:18002,18456317
353,9432400,0,16.236,107,66.111,37.59,tracepilot:18002,18566409
